#OIII_Hb SII_Ha NII_Ha_both V
0.236512 -0.56523 -0.508885 125.0
0.0547279 -0.572533 -0.542729 150.0
-0.0373135 -0.528829 -0.523917 175.0
-0.0228482 -0.434285 -0.406869 200.0
0.0785656 -0.398996 -0.308355 225.0
0.184209 -0.344462 -0.244732 250.0
0.348577 -0.26455 -0.182261 275.0
0.389627 -0.193698 -0.103702 300.0
0.446071 -0.155388 -0.0623052 325.0
0.478797 -0.137317 -0.0343909 350.0
0.548512 -0.127769 -0.0109709 375.0
0.62487 -0.128513 0.00230957 400.0
0.69507 -0.132483 0.0117317 425.0
0.776396 -0.13725 0.0194433 450.0
0.838943 -0.135255 0.0234106 475.0
0.896862 -0.131976 0.0281106 500.0
0.936584 -0.134559 0.0279664 525.0
0.983103 -0.125033 0.0237353 550.0
1.01924 -0.115202 0.0219298 575.0
1.03711 -0.105758 0.0228473 600.0
1.04867 -0.0944694 0.0219021 625.0
1.05713 -0.0822821 0.0258348 650.0
1.05979 -0.0688008 0.0272597 675.0
1.06281 -0.0648508 0.0301513 700.0
1.06378 -0.0516477 0.0329548 725.0
1.06468 -0.0394117 0.0373677 750.0
1.06405 -0.0290422 0.0401511 775.0
1.06565 -0.0205755 0.0429373 800.0
1.06356 -0.0114471 0.0448172 825.0
1.059 -0.00178869 0.050032 850.0
1.05331 -0.0014365 0.0562029 875.0
1.04399 0.00772361 0.0600707 900.0
1.04692 0.0110492 0.0598255 925.0
1.04332 0.0188059 0.062196 950.0
1.03743 0.0282489 0.0630743 975.0
1.03366 0.0352245 0.0641302 1000.0
0.361898 -0.516444 -0.450646 100.0
0.233148 -0.539402 -0.479406 125.0
0.0623187 -0.535423 -0.495546 150.0
-0.0256173 -0.49378 -0.47255 175.0
-0.0113251 -0.428422 -0.35976 200.0
0.090646 -0.421727 -0.26581 225.0
0.20374 -0.377596 -0.205396 250.0
0.368436 -0.304835 -0.14727 275.0
0.421653 -0.247935 -0.0795721 300.0
0.486062 -0.220511 -0.0475787 325.0
0.539803 -0.203055 -0.026212 350.0
0.607959 -0.204978 -0.0156814 375.0
0.682244 -0.210533 -0.00874893 400.0
0.748204 -0.214901 -0.00222525 425.0
0.822279 -0.216742 0.00422926 450.0
0.880019 -0.21166 0.00656154 475.0
0.93414 -0.201293 0.0102614 500.0
0.97004 -0.200525 0.00942747 525.0
1.01435 -0.177536 0.00721125 550.0
1.0465 -0.157948 0.00611786 575.0
1.06371 -0.141434 0.00897783 600.0
1.07408 -0.121478 0.010937 625.0
1.08243 -0.104603 0.0156146 650.0
1.08508 -0.0840488 0.0187169 675.0
1.08909 -0.0750356 0.0230243 700.0
1.08909 -0.058329 0.0268809 725.0
1.091 -0.0460937 0.0327896 750.0
1.09093 -0.0336857 0.0370419 775.0
1.09265 -0.0247842 0.0404474 800.0
1.09248 -0.0142342 0.0439995 825.0
1.08969 -0.00364913 0.0494796 850.0
1.08518 -0.00584907 0.0560165 875.0
1.07777 0.00413234 0.0602388 900.0
1.08099 0.00600278 0.0604907 925.0
1.07809 0.0142168 0.0625222 950.0
1.07566 0.0249295 0.0644145 975.0
1.07229 0.0326461 0.0646507 1000.0
0.358753 -0.513432 -0.441155 100.0
0.233301 -0.526197 -0.461915 125.0
0.0685198 -0.519942 -0.471443 150.0
-0.0186708 -0.48281 -0.449904 175.0
-0.00216819 -0.431776 -0.338847 200.0
0.101335 -0.439731 -0.247498 225.0
0.219846 -0.400523 -0.189478 250.0
0.385785 -0.332073 -0.134842 275.0
0.446118 -0.282815 -0.0739756 300.0
0.516853 -0.259327 -0.0467273 325.0
0.576422 -0.243931 -0.030726 350.0
0.64706 -0.247644 -0.0254983 375.0
0.719066 -0.25267 -0.0206036 400.0
0.782566 -0.25738 -0.0174179 425.0
0.853199 -0.256559 -0.0108071 450.0
0.906847 -0.248897 -0.00924258 475.0
0.959833 -0.235177 -0.00613902 500.0
0.993458 -0.231099 -0.0071046 525.0
1.03615 -0.20161 -0.00835092 550.0
1.06659 -0.174446 -0.00689858 575.0
1.08275 -0.155958 -0.00421453 600.0
1.09251 -0.132258 -0.00039931 625.0
1.10065 -0.112554 0.00536372 650.0
